종_한글명,사육_난이도_5단계,초기비용_등급_5단계,성체크기_등급_3단계,온도습도_5단계,활동패턴,식성타입,먹이빈도_등급,핸들링적합도_5단계,사육장_사이즈_3단계,외형태그,종류,관상용_애완용,사진_URL
인도네시아 블루텅 스킨크,3,3,2,4,주행성,잡식,1,4,3,귀엽고 화려하다,게코,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Tiliqua_gigas_Grodno_1608.jpg
이리안 자야 블루텅 스킨크,2,3,3,3,주행성,잡식,1,4,3,귀엽고 화려하다,게코,애완용,https://m.newrunreptile.co.kr/web/product/big/202009/60f0595d72eea93cc5456a215c683a51.jpg
노던 블루텅 스킨크,2,4,2,3,주행성,잡식,1,5,3,귀엽다,도마뱀,둘 다,https://commons.wikimedia.org/wiki/Special:FilePath/Northern_Blue-tongued_Skink.jpg
타님바 블루텅 스킨크,4,3,2,4,주행성,잡식,1,3,3,귀엽다,도마뱀,둘 다,https://i.namu.wiki/i/oshrSRM6RY7Ws9P_5G2H3BdEg_7HpSGRRLOLtJRdGJNT9BjHcDvjH_hB8z9SHIGQiDN7bzHY1cy_d8NARE_Dzw.webp
차이니스 케이브 게코,3,2,1,4,야행성,육식,1,1,2,귀엽고 화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Goniurosaurus_gollum_%2810.3897-zookeys.991.54935%29_Figure_5.jpg
차이니즈 워터 드래곤,4,4,3,4,주행성,잡식,1,4,3,화려하다,도마뱀,둘 다,https://contents.sixshop.com/thumbnails/uploadedFiles/32210/product/image_1534673351632_1500.jpg
에메랄드 트리 스킨크,3,3,1,3,주행성,잡식,2,5,2,멋지고 화려하다,도마뱀,애완용,https://commons.wikimedia.org/wiki/Special:FilePath/Lamprolepis_smaragdina.JPG
파이어 스킨크,2,2,2,3,주행성,잡식,2,4,2,화려하다,도마뱀,애완용,https://m.newrunreptile.co.kr/web/product/big/202008/17b0baa104e6390313879ca93edde197.jpg
아시안 하우스 게코,1,1,1,2,야행성,육식,2,1,1,화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Asian_House_Gecko_-_Hemidactylus_frenatus_-_01.jpg
메디터레니언 하우스 게코,1,1,1,2,야행성,육식,2,1,1,귀엽다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Hemidactylus_turcicus_%28Mediterranean_house_gecko%29.jpg
자이언트 리프테일 게코,4,4,2,4,야행성,육식,1,2,3,귀엽다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Giant_Leaf-tailed_Gecko_%28Uroplatus_fimbriatus%29%2C_Nosy_Mangabe%2C_Madagascar_%283897171513%29.jpg
모시 리프테일 게코,4,4,2,4,야행성,육식,1,1,2,화려하다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Mossy_leaf-tailed_gecko_%28Uroplatus_sikorae%29%2C_Vohimana_reserve%2C_Madagascar.jpg
콜롬비안 테구,3,3,3,4,주행성,잡식,2,1,3,화려하다,도마뱀,둘 다,https://commons.wikimedia.org/wiki/Special:FilePath/Argentine_Black_and_White_Tegu_%28Salvator_merianae%29_male_-_Flickr_-_berniedup_%281%29.jpg
바이퍼 게코,1,1,1,2,야행성,육식,2,1,1,멋있다,게코,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Teratoscincus_scincus._Frog-eye_Gecko.jpg
화이트 트리프록,2,2,1,3,야행성,육식,3,2,1,화려하다,개구리,관상용,https://commons.wikimedia.org/wiki/Special:FilePath/Litoria_caerulea2.JPG
브라운 트리프록,3,2,1,3,야행성,육식,4,1,1,귀엽다,개구리,관상용,https://m.newrunreptile.co.kr/web/product/big/202512/4cfbd66bb0663710a37873b541bf71fa.jpg
